2011-08-20 13:11:39 [INFO] akofink issued server command: give akofink 57 64
2011-08-20 13:11:39 [INFO] akofink: Giving akofink some 57
2011-08-20 13:17:46 [INFO] akofink issued server command: give akofink 6:2 64
2011-08-20 13:18:05 [INFO] akofink issued server command: give akofink 6.2
2011-08-20 13:18:11 [INFO] akofink issued server command: give akofink 6:2
2011-08-20 13:18:21 [INFO] akofink issued server command: give akofink 6 64
2011-08-20 13:18:21 [INFO] akofink: Giving akofink some 6
2011-08-20 13:26:08 [INFO] blazinblocks [/152.7.5.142:59482] logged in with entity id 43141 at (-86.5, 67.62000000476837, 213.5)
2011-08-20 13:28:02 [INFO] blazinblocks tried command: give blazinblocks 1 64
2011-08-20 13:28:19 [INFO] <akofink> hi blazinblocks
2011-08-20 13:28:22 [INFO] <blazinblocks> hola
2011-08-20 13:28:27 [INFO] akofink issued server command: op blazinblocks
2011-08-20 13:28:27 [INFO] akofink: Opping blazinblocks
2011-08-20 13:28:32 [INFO] <blazinblocks> woo
2011-08-20 13:28:40 [INFO] <akofink> you know the codes>
2011-08-20 13:28:40 [INFO] blazinblocks issued server command: give blazinblocks 1 64
2011-08-20 13:28:40 [INFO] blazinblocks: Giving blazinblocks some 1
2011-08-20 13:28:47 [INFO] <blazinblocks> yeah i know em all
2011-08-20 13:28:52 [INFO] <akofink> climb up here
2011-08-20 13:29:33 [INFO] <akofink> haha
2011-08-20 13:29:43 [INFO] <blazinblocks> cool, haha. i think evryone makes oen of these
2011-08-20 13:29:45 [INFO] <akofink> this is as high as it would let me
2011-08-20 13:29:55 [INFO] <akofink> yeah. and mine to the center of the earth.
2011-08-20 13:32:29 [INFO] <akofink> give akofink 65 64
2011-08-20 13:32:40 [INFO] <akofink> whoops haha
2011-08-20 13:32:48 [INFO] akofink issued server command: give akofink 65 64
2011-08-20 13:32:48 [INFO] akofink: Giving akofink some 65
2011-08-20 13:33:37 [INFO] akofink issued server command: give akofink 96
2011-08-20 13:33:37 [INFO] akofink: Giving akofink some 96
2011-08-20 13:33:58 [WARNING] Can't keep up! Did the system time change, or is the server overloaded?
2011-08-20 13:34:14 [INFO] akofink issued server command: time set 10000
2011-08-20 13:34:14 [INFO] akofink: Set time to 10000
2011-08-20 13:39:31 [INFO] blazinblocks lost connection: disconnect.quitting
2011-08-20 13:39:33 [INFO] blazinblocks [/152.7.5.142:59533] logged in with entity id 49301 at (-95.625, 66.0, 191.03125)
2011-08-20 13:48:35 [INFO] akofink issued server command: list
2011-08-20 13:49:06 [INFO] akofink issued server command: give blazinblocks 322 5
2011-08-20 13:49:06 [INFO] akofink: Giving blazinblocks some 322
2011-08-20 13:49:13 [INFO] <blazinblocks> thanks
2011-08-20 13:49:15 [INFO] <akofink> np
2011-08-20 13:55:44 [WARNING] Can't keep up! Did the system time change, or is the server overloaded?
2011-08-20 13:56:47 [WARNING] Can't keep up! Did the system time change, or is the server overloaded?
2011-08-20 13:57:00 [WARNING] Can't keep up! Did the system time change, or is the server overloaded?
2011-08-20 13:57:09 [WARNING] Can't keep up! Did the system time change, or is the server overloaded?
2011-08-20 13:57:20 [INFO] <akofink> glitchy
2011-08-20 13:58:11 [INFO] blazinblocks issued server command: set time 0
2011-08-20 13:58:11 [INFO] Unknown console command. Type "help" for help.
2011-08-20 13:58:16 [INFO] blazinblocks issued server command: time set 0
2011-08-20 13:58:16 [INFO] blazinblocks: Set time to 0
2011-08-20 13:59:07 [INFO] akofink issued server command: give akofink 54 2
2011-08-20 13:59:07 [INFO] akofink: Giving akofink some 54
2011-08-20 14:05:28 [INFO] akofink issued server command: give akofink 46 5
2011-08-20 14:05:28 [INFO] akofink: Giving akofink some 46
2011-08-20 14:08:35 [INFO] akofink issued server command: give akofink 55 20
2011-08-20 14:08:35 [INFO] akofink: Giving akofink some 55
2011-08-20 14:10:35 [INFO] akofink issued server command: give akofink 259
2011-08-20 14:10:35 [INFO] akofink: Giving akofink some 259
2011-08-20 14:11:55 [INFO] akofink lost connection: disconnect.quitting
2011-08-20 14:11:59 [INFO] akofink [/152.7.5.138:37459] logged in with entity id 69519 at (-86.49198614053464, 5.0, 294.97233448842303)
2011-08-20 14:12:26 [INFO] akofink issued server command: give akofink 326
2011-08-20 14:12:26 [INFO] akofink: Giving akofink some 326
2011-08-20 14:12:57 [INFO] blazinblocks issued server command: time set 0
2011-08-20 14:12:57 [INFO] blazinblocks: Set time to 0
2011-08-20 14:13:08 [INFO] blazinblocks issued server command: set time 0
2011-08-20 14:13:08 [INFO] Unknown console command. Type "help" for help.
2011-08-20 14:14:47 [INFO] <akofink> I blasted tit with tnt
2011-08-20 14:14:59 [INFO] <blazinblocks> ahh cool lol, thats quite an agressive strategy
2011-08-20 14:15:10 [INFO] <akofink> i was tired of minint
2011-08-20 14:15:43 [INFO] akofink issued server command: give akofink 46 10
2011-08-20 14:15:43 [INFO] akofink: Giving akofink some 46
2011-08-20 14:17:11 [INFO] akofink issued server command: give akofink 322
2011-08-20 14:17:11 [INFO] akofink: Giving akofink some 322
2011-08-20 14:17:23 [INFO] blazinblocks issued server command: give blazinblocks 287 1
2011-08-20 14:17:23 [INFO] blazinblocks: Giving blazinblocks some 287
2011-08-20 14:17:34 [INFO] blazinblocks issued server command: give blazinblocks 278 1
2011-08-20 14:17:34 [INFO] blazinblocks: Giving blazinblocks some 278
2011-08-20 14:17:45 [INFO] blazinblocks issued server command: give blazinblocks 65 64
2011-08-20 14:17:45 [INFO] blazinblocks: Giving blazinblocks some 65
2011-08-20 14:17:52 [INFO] blazinblocks issued server command: give blazinblocks 50 65
2011-08-20 14:17:52 [INFO] blazinblocks: Giving blazinblocks some 50
2011-08-20 14:17:59 [INFO] akofink lost connection: disconnect.quitting
2011-08-20 14:18:03 [INFO] akofink [/152.7.5.138:44168] logged in with entity id 73900 at (-86.69999998807907, 5.0, 300.0834524716593)
2011-08-20 14:18:43 [INFO] blazinblocks issued server command: give blazinblocks 1 64
2011-08-20 14:18:43 [INFO] blazinblocks: Giving blazinblocks some 1
2011-08-20 14:18:53 [INFO] blazinblocks issued server command: give blazinblocks 1 64
2011-08-20 14:18:53 [INFO] blazinblocks: Giving blazinblocks some 1
2011-08-20 14:21:48 [INFO] blazinblocks issued server command: give blazinblocks 50 64
2011-08-20 14:21:48 [INFO] blazinblocks: Giving blazinblocks some 50
2011-08-20 14:22:01 [INFO] blazinblocks issued server command: give blazinblocks 4 64
2011-08-20 14:22:01 [INFO] blazinblocks: Giving blazinblocks some 4
2011-08-20 14:23:36 [INFO] akofink issued server command: give akofink 46 65
2011-08-20 14:23:36 [INFO] akofink: Giving akofink some 46
2011-08-20 14:24:41 [INFO] akofink lost connection: disconnect.quitting
2011-08-20 14:24:45 [INFO] akofink [/152.7.5.138:38735] logged in with entity id 80300 at (-86.43399936963156, 5.0, 290.7861116443987)
2011-08-20 14:25:26 [INFO] akofink issued server command: give akofink 50 64
2011-08-20 14:25:26 [INFO] akofink: Giving akofink some 50
2011-08-20 14:29:04 [WARNING] Can't keep up! Did the system time change, or is the server overloaded?
2011-08-20 14:31:11 [INFO] akofink issued server command: give akofink 55 64
2011-08-20 14:31:11 [INFO] akofink: Giving akofink some 55
2011-08-20 14:32:33 [INFO] blazinblocks issued server command: give blazinblocks 4 64
2011-08-20 14:32:33 [INFO] blazinblocks: Giving blazinblocks some 4
2011-08-20 14:33:04 [INFO] akofink issued server command: give akofink 77
2011-08-20 14:33:04 [INFO] akofink: Giving akofink some 77
2011-08-20 14:33:43 [INFO] akofink issued server command: give akofink 75
2011-08-20 14:33:43 [INFO] akofink: Giving akofink some 75
2011-08-20 14:33:47 [INFO] blazinblocks issued server command: give blazinblocks 65 64
2011-08-20 14:33:47 [INFO] blazinblocks: Giving blazinblocks some 65
2011-08-20 14:34:32 [INFO] blazinblocks issued server command: give blazinblcks 4 64
2011-08-20 14:34:42 [INFO] blazinblocks issued server command: give blazinblocks 4 64
2011-08-20 14:34:42 [INFO] blazinblocks: Giving blazinblocks some 4
2011-08-20 14:36:49 [INFO] akofink issued server command: give akofink 27 64
2011-08-20 14:36:49 [INFO] akofink: Giving akofink some 27
2011-08-20 14:38:21 [INFO] akofink issued server command: give akofink 343
2011-08-20 14:38:21 [INFO] akofink: Giving akofink some 343
2011-08-20 14:39:53 [INFO] akofink issued server command: give akofink 328
2011-08-20 14:39:53 [INFO] akofink: Giving akofink some 328
2011-08-20 14:40:09 [INFO] blazinblocks issued server command: give blazinblocks 1 64
2011-08-20 14:40:09 [INFO] blazinblocks: Giving blazinblocks some 1
2011-08-20 14:40:17 [INFO] blazinblocks issued server command: give blazinblocks 4 64
2011-08-20 14:40:17 [INFO] blazinblocks: Giving blazinblocks some 4
2011-08-20 14:44:16 [INFO] blazinblocks issued server command: list
2011-08-20 14:49:07 [INFO] akofink issued server command: list
2011-08-20 14:52:41 [INFO] akofink issued server command: give akofink 57 64
2011-08-20 14:52:41 [INFO] akofink: Giving akofink some 57
2011-08-20 14:54:40 [INFO] akofink issued server command: give akofink 5 64
2011-08-20 14:54:40 [INFO] akofink: Giving akofink some 5
2011-08-20 14:56:02 [INFO] akofink issued server command: give akofink 333
2011-08-20 14:56:02 [INFO] akofink: Giving akofink some 333
2011-08-20 14:57:37 [WARNING] Can't keep up! Did the system time change, or is the server overloaded?
2011-08-20 15:01:05 [INFO] akofink issued server command: give akofink 330
2011-08-20 15:01:05 [INFO] akofink: Giving akofink some 330
2011-08-20 15:02:22 [INFO] akofink issued server command: give akofink 324
2011-08-20 15:02:22 [INFO] akofink: Giving akofink some 324
2011-08-20 15:02:52 [INFO] akofink issued server command: give akofink 57 64
